winner,winner score,loser score,target,strategy,opponent,hand,used
tree-v6,463,487,7,"[4, 2, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 3 4 5 5 6 6 6 6 7 7 7 10 J J Q A A A 2 2, 7 8 9 10 J 9 10 J Q K 
tree-v6,463,487,0,"[4, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 4 6 6 6 6 10 J J Q 2 2, 7 8 9 10 J 9 10 J Q K 7 7 7 3 3 A A A 5 5 3 3 3 4 4 A A A 5 5 
tree-v6,463,487,0,"[1, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 0, 0, 2]",4 6 6 6 6 J J 2 2, 7 8 9 10 J 9 10 J Q K 7 7 7 3 3 A A A 5 5 3 3 3 4 4 A A A 5 5 3 8 10 J Q 
tree-v6,463,487,1,"[0, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 1, 0, 0, 0, 2]",6 6 6 6 J J 2 2, 7 8 9 10 J 9 10 J Q K 7 7 7 3 3 A A A 5 5 3 3 3 4 4 A A A 5 5 3 8 10 J Q 4 
tree-v6,507,500,7,"[2, 3, 0, 0, 0, 2, 0, 2]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 5 5 5 6 7 7 8 8 8 10 Q Q K K K K A A 2 2 2 2, 10 J 
tree-v6,507,500,0,"[2, 3, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",6 7 7 10 Q Q A A 2 2 2 2, 10 J 5 5 5 3 3 6 6 6 4 4 8 8 8 4 4 J J J 5 5 K K K K 
tree-v6,507,500,0,"[1, 3, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",7 7 10 Q Q A A 2 2 2 2, 10 J 5 5 5 3 3 6 6 6 4 4 8 8 8 4 4 J J J 5 5 K K K K 6 
tree-v6,507,500,1,"[0, 3, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 2]",7 7 Q Q A A 2 2 2 2, 10 J 5 5 5 3 3 6 6 6 4 4 8 8 8 4 4 J J J 5 5 K K K K 6 10 
tree-v6,491,501,3,"[4, 2, 0, 1, 0, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 5 6 6 6 7 7 8 8 10 J J J J J Q K K K K A A A 2, 
tree-v6,491,501,7,"[4, 2, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 6 6 7 8 8 10 J J J J J Q A A A 2, 3 4 5 6 7 5 6 7 8 9 K K K K 
tree-v6,491,501,0,"[4, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",6 6 7 8 8 10 J J J J J Q 2, 3 4 5 6 7 5 6 7 8 9 K K K K A A A 3 3 
tree-v6,491,501,0,"[2, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",6 6 8 8 10 J J J J J 2, 3 4 5 6 7 5 6 7 8 9 K K K K A A A 3 3 7 J Q 
tree-v6,491,501,0,"[1, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",6 6 8 8 J J J J J 2, 3 4 5 6 7 5 6 7 8 9 K K K K A A A 3 3 7 J Q 10 
tree-v6,491,501,1,"[0, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",6 6 8 8 J J J J J, 3 4 5 6 7 5 6 7 8 9 K K K K A A A 3 3 7 J Q 10 2 
tree-v6,491,501,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]",8 8, 3 4 5 6 7 5 6 7 8 9 K K K K A A A 3 3 7 J Q 10 2 6 6 8 8 J J J J J 
forest-v4,471,469,3,"[0, 0, 0, 2, 0, 1, 0, 2]","[3, 1, 0, 1, 0, 1, 0, 1]",3 3 3 4 4 5 5 5 6 6 7 8 8 9 9 10 10 J J Q A A A A, 9 10 J Q K 5 5 5 4 4 3 2 8 8 8 8 J Q 6 6 Q Q 
forest-v4,471,469,3,"[0, 0, 0, 1, 0, 1, 0, 2]","[3, 1, 0, 1, 0, 1, 0, 1]",3 3 3 4 4 5 5 5 6 6 8 9 10 J Q A A A A, 9 10 J Q K 5 5 5 4 4 3 2 8 8 8 8 J Q 6 6 Q Q 7 8 9 10 J 
forest-v4,471,469,5,"[0, 0, 0, 0, 0, 1, 0, 2]","[3, 1, 0, 1, 0, 1, 0, 1]",3 3 3 4 4 5 5 5 6 6 A A A A, 9 10 J Q K 5 5 5 4 4 3 2 8 8 8 8 J Q 6 6 Q Q 7 8 9 10 J 8 9 10 J Q 
forest-v4,471,469,7,"[0, 0, 0, 0, 0, 0, 0, 2]","[3, 1, 0, 1, 0, 1, 0, 1]",3 3 3 4 4 5 5 5 6 6, 9 10 J Q K 5 5 5 4 4 3 2 8 8 8 8 J Q 6 6 Q Q 7 8 9 10 J 8 9 10 J Q A A A A 
forest-v4,471,469,7,"[0, 0, 0, 0, 0, 0, 0, 1]","[3, 1, 0, 1, 0, 1, 0, 1]",5 5 5 6 6, 9 10 J Q K 5 5 5 4 4 3 2 8 8 8 8 J Q 6 6 Q Q 7 8 9 10 J 8 9 10 J Q A A A A 3 3 3 4 4 
forest-v4,455,494,7,"[3, 3, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 4 4 4 5 5 5 5 6 6 7 7 9 9 10 10 J J J K K K A 2, 
forest-v4,455,494,0,"[3, 3, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 4 4 4 5 5 5 5 7 7 9 9 10 10 A 2, J J J 3 3 Q Q Q 7 7 K K K 6 6 
forest-v4,455,494,1,"[0, 3, 0, 0, 0, 2, 0, 0]","[2, 0, 2, 0, 0, 1, 0, 1]",4 4 4 4 5 5 5 5 7 7 9 9 10 10, J J J 3 3 Q Q Q 7 7 K K K 6 6 3 6 A 2 2 2 2 2 9 9 9 A A A K 2 
forest-v4,455,494,1,"[0, 1, 0, 0, 0, 1, 0, 0]","[2, 2, 2, 0, 0, 1, 0, 1]",5 5 5 5 10 10, J J J 3 3 Q Q Q 7 7 K K K 6 6 3 6 A 2 2 2 2 2 9 9 9 A A A K 2 7 7 8 8 9 9 10 10 4 4 4 4 
forest-v4,455,494,5,"[0, 0, 0, 0, 0, 1, 0, 0]","[2, 2, 2, 0, 0, 1, 0, 1]",5 5 5 5, J J J 3 3 Q Q Q 7 7 K K K 6 6 3 6 A 2 2 2 2 2 9 9 9 A A A K 2 7 7 8 8 9 9 10 10 4 4 4 4 10 10 
forest-v4,462,501,7,"[4, 2, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 5 6 6 6 8 8 9 9 9 10 10 J J J Q Q Q Q K A 2, 
forest-v4,462,501,7,"[4, 2, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1]",4 5 5 8 8 10 10 J J J Q Q Q Q K A 2, 6 6 6 3 3 8 8 8 6 6 9 9 9 4 4 
forest-v4,462,501,0,"[3, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 3]",4 8 8 10 10 Q Q Q Q A 2, 6 6 6 3 3 8 8 8 6 6 9 9 9 4 4 J J J 5 5 K K K 4 4 A A A 5 5 4 K 
forest-v4,462,501,0,"[1, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 3]",8 8 10 10 Q Q Q Q 2, 6 6 6 3 3 8 8 8 6 6 9 9 9 4 4 J J J 5 5 K K K 4 4 A A A 5 5 4 K 4 Q A 
forest-v4,462,501,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 1, 0, 3]",10 10, 6 6 6 3 3 8 8 8 6 6 9 9 9 4 4 J J J 5 5 K K K 4 4 A A A 5 5 4 K 4 Q A 2 2 2 2 2 7 7 8 8 10 10 Q Q Q Q 
tree-v6,469,481,7,"[2, 3, 0, 0, 1, 2, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 4 4 4 5 5 6 6 6 7 7 7 7 8 8 9 9 10 10 J J J J K K A A, 
tree-v6,469,481,0,"[2, 3, 0, 0, 1, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3 4 5 5 7 7 7 7 8 8 9 9 10 10 J J J J K K A A, 6 6 6 4 4 
tree-v6,469,481,0,"[2, 2, 0, 0, 1, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",4 5 5 7 7 7 7 8 8 9 9 10 10 J J J J K A A, 6 6 6 4 4 3 Q K 
tree-v6,469,481,0,"[1, 2, 0, 0, 1, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",5 5 7 7 7 7 8 8 9 9 10 10 J J J J K A A, 6 6 6 4 4 3 Q K 4 
tree-v6,469,481,1,"[0, 2, 0, 0, 1, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",5 5 7 7 7 7 8 8 9 9 10 10 J J J J A A, 6 6 6 4 4 3 Q K 4 K 
tree-v6,469,481,4,"[0, 0, 0, 0, 1, 1, 0, 0]","[2, 2, 1, 1, 0, 0, 0, 0]",8 8 9 9 10 10 J J J J, 6 6 6 4 4 3 Q K 4 K 5 5 K K A A 2 2 4 4 4 3 6 7 8 9 10 7 7 7 7 
tree-v6,495,454,3,"[3, 0, 0, 1, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 5 5 6 6 7 7 8 9 9 10 J J J J K K K A A A 2 2 2, 
tree-v6,495,454,7,"[3, 0, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 5 5 6 7 9 J J J J K K K A A A 2 2 2, 6 7 8 9 10 
tree-v6,495,454,7,"[3, 0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0]",4 4 5 5 6 7 9 J J J J A A A 2 2 2, 6 7 8 9 10 K K K 3 3 
tree-v6,495,454,7,"[3, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",5 5 6 7 9 J J J J 2 2 2, 6 7 8 9 10 K K K 3 3 A A A 4 4 
tree-v6,495,454,0,"[3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",6 7 9, 6 7 8 9 10 K K K 3 3 A A A 4 4 2 2 2 5 5 3 3 3 3 J J J J 
tree-v6,526,480,7,"[2, 3, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 4 4 5 5 6 9 9 10 Q Q Q Q Q K K K A A A 2 2, 9 10 J Q K J J J J 
tree-v6,526,480,7,"[2, 3, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",4 4 5 5 6 9 9 10 Q Q Q Q Q A A A 2 2, 9 10 J Q K J J J J K K K 3 3 
tree-v6,526,480,0,"[2, 3, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",5 5 6 9 9 10 Q Q Q Q Q 2 2, 9 10 J Q K J J J J K K K 3 3 A A A 4 4 
tree-v6,526,480,1,"[0, 3, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",5 5 9 9 Q Q Q Q Q 2 2, 9 10 J Q K J J J J K K K 3 3 A A A 4 4 6 8 10 
tree-v6,526,480,1,"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 1, 0, 3, 0, 0]",2 2, 9 10 J Q K J J J J K K K 3 3 A A A 4 4 6 8 10 5 5 6 6 9 9 2 2 4 4 4 4 5 5 5 5 7 7 7 7 Q Q Q Q Q 
tree-v6,522,509,0,"[2, 1, 0, 2, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 3 5 6 7 7 8 8 9 9 10 J J Q Q K A A A A 2 2 2 2, 
tree-v6,522,509,1,"[0, 1, 0, 2, 0, 3, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 3 5 6 7 7 8 8 9 9 10 J Q Q A A A A 2 2 2 2, J K 3 K 
tree-v6,522,509,3,"[0, 0, 0, 2, 0, 2, 0, 0]","[4, 1, 0, 0, 0, 0, 0, 0]",3 3 3 3 3 5 6 7 7 8 8 9 9 10 J 2 2 2 2, J K 3 K Q Q A A 5 8 A A A A 
tree-v6,522,509,3,"[0, 0, 0, 1, 0, 2, 0, 0]","[4, 1, 0, 0, 0, 0, 0, 0]",3 3 3 3 3 7 8 9 10 J 2 2 2 2, J K 3 K Q Q A A 5 8 A A A A 5 6 7 8 9 
tree-v6,522,509,5,"[0, 0, 0, 0, 0, 2, 0, 0]","[4, 1, 0, 0, 0, 0, 0, 0]",3 3 3 3 3 2 2 2 2, J K 3 K Q Q A A 5 8 A A A A 5 6 7 8 9 7 8 9 10 J 
forest-v4,474,466,3,"[3, 0, 0, 3, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 4 6 6 7 7 7 8 9 9 10 J J J Q Q Q K K K A A 2 2, 
forest-v4,474,466,3,"[3, 0, 0, 2, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 4 6 6 7 7 7 8 9 J J Q Q K K A A 2 2, 9 10 J Q K 
forest-v4,474,466,3,"[3, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 4 6 6 7 7 7 8 9 J Q K A 2, 9 10 J Q K J Q K A 2 
forest-v4,474,466,0,"[1, 0, 0, 0, 0, 0, 0, 1]","[3, 2, 0, 0, 0, 1, 0, 2]",6 6 7 7 7 9, 9 10 J Q K J Q K A 2 J Q K A 2 A A A A 8 8 8 3 3 10 10 10 4 4 3 4 7 8 J Q Q 2 2 3 3 3 3 
