winner,target,hand cards,used cards,winner score,loser score
AI-forest-model,3,3 3 3 3 4 4 4 4 5 5 8 8 8 8 10 10 10 10 A A, 4 6 8 K ,342,307
AI-forest-model,1,3 3 3 3 4 4 4 4 8 8 8 8 10 10 10 10 A A, 4 6 8 K J Q K A 2 ,342,307
AI-forest-model,5,4 4 4 4 8 8 8 8 10 10 10 10, 4 6 8 K J Q K A 2 5 5 6 6 A A ,342,307
AI-forest-model,4,3 4 4 5 5 5 6 10 10 J J Q Q K K K A A 2 2 2, ,253,296
AI-forest-model,0,4 4 5 5 5 6 10 10 J J Q Q K K K A A 2 2 2, 7 7 8 8 9 9 ,253,296
AI-forest-model,7,6 10 10 J J Q Q A A, 7 7 8 8 9 9 3 4 5 9 6 6 6 4 4 K K K 4 4 ,253,296
AI-forest-model,0,10 10 J J Q Q A A, 7 7 8 8 9 9 3 4 5 9 6 6 6 4 4 K K K 4 4 2 2 2 5 5 ,253,296
AI-random,7,3 5 6 6 7 8 8 9 10 10 J J K K A A A 2 2 2 2 2, ,323,270
AI-random,3,3 8 A A A 2 2 2 2 2, Q Q Q 4 4 K K K 4 4 3 6 9 5 5 10 10 J J K K A A Q 8 8 J J ,323,270
AI-random,5,3 8 A A A, Q Q Q 4 4 K K K 4 4 3 6 9 5 5 10 10 J J K K A A Q 8 8 J J 5 6 7 8 9 ,323,270
AI-random,0,8 A A A, Q Q Q 4 4 K K K 4 4 3 6 9 5 5 10 10 J J K K A A Q 8 8 J J 5 6 7 8 9 2 2 2 2 2 ,323,270
AI-random,0,A, Q Q Q 4 4 K K K 4 4 3 6 9 5 5 10 10 J J K K A A Q 8 8 J J 5 6 7 8 9 2 2 2 2 2 3 6 6 6 6 10 10 A A ,323,270
AI-random,0,, Q Q Q 4 4 K K K 4 4 3 6 9 5 5 10 10 J J K K A A Q 8 8 J J 5 6 7 8 9 2 2 2 2 2 3 6 6 6 6 10 10 A A 8 ,323,270
AI-forest-model,3,4 4 5 5 6 6 8 8 8 9 9 Q Q Q A, 3 7 8 10 A 9 J 2 6 6 6 6 K K K K ,305,272
AI-forest-model,7,5 5 6 6 9 9 Q Q Q A, 3 7 8 10 A 9 J 2 6 6 6 6 K K K K 3 4 5 6 7 ,305,272
AI-forest-model,7,6 6 9 9 A, 3 7 8 10 A 9 J 2 6 6 6 6 K K K K 3 4 5 6 7 8 8 8 4 4 ,305,272
AI-random,7,3 6 6 7 10 Q Q K K K A A 2, 4 4 4 4 9 9 9 9 7 7 7 7 7 J J J J J ,310,289
